Comment,Category 1,Category 2,Category 3
"My hat is truly off to anyone who has the commitment to get off of the couch and actually make a movie. It is an enormous undertaking. But the gushing reviews listed elsewhere were so contrary to my own experience that I felt compelled to offer another point of view. This film seemed to appear in the newspaper listings with no publicity so I researched it in advance on IMDb. The background information pointed clearly toward ""Mormon cinema"". The problem with the genre is that it leans on the inside joke and preaches to the choir to the exclusion of the broader audience. The LDS references were frequent and heavy-handed. To my ear, the main character's accent sounds more like Alabama than Montana. And how could anyone not know after even the most superficial first-date small talk that he was getting involved with his boss's grand-daughter? On the technical side there was enjoyable urban and rural photography of Britain but there were also several very over-exposed sun-bleached shots. The soundtrack reminded me too much of a soap opera Wurlitzer.",Music,Plot,
"OK, so I went to see this movie because of Monica Bellucci, however, I am a Spike Lee fan. This movie just went from bad to worse and I didn't even know what hit me. The script was not coherent, it flow wasn't smooth, and I really didn't get anything out of the movie but a scene of bewilderment for having to sit through that. People say there is a meaning in this movie but I just couldn't get passed the bad storyline. However, not to trash Spike to much, this movie defiantly obtained a cult status, so if the plot interests you this movie just MIGHT be for you, cause its definitely wasn't for me ... in fact I can say this movie was one of the worst movies I have ever seen. So thats it, it gets 3! On a side note, Spike Lee redeemed himself in Inside Man.",Plot,,
"Ya gotta love Al Adamson. Only he would (1) take footage from a 20-year-old movie about gorillas in diving helmets (""Robot Monster""), (2) combine it with clips from a 30-year-old movie about elephants with hair mats glued to their sides (""One Million B.C.""), (3) throw in parts from a God-knows-how-old Filipino movie about midget cannibals, half man/half lobster monsters and beer-bellied Chinese cavemen with snakes growing out of their shoulders (all of the aforementioned footage being in black and white), (4) spend $11.43 shooting new ""connecting"" footage (in color, no less) with an apparently--to be charitable--confused John Carradine and a bunch of actors who have trouble remembering their lines (among them a vapid blonde who is so incompetent that all her dialogue is dubbed in by someone else and who doesn't even have the decency to make up for it by getting naked), (5) put it out under at least 10 different titles and (6) try to pass each one off as a new movie. Go, Al!<br /><br />This is Al's masterwork, the film by which he will always be remembered. Orson Welles had ""Citizen Kane,"" Michael Curtiz had ""Casablanca,"" Francis Coppola had ""The Godfather,"" Al Adamson has ""Vampire Men of the Lost Planet."" You're in heady company, Al. You deserve it.",Plot,,
"Sorry to disagree with so many negative reviews. I have not seen the original with Jack Lemmon and I don't doubt the original is much better than the remake, but I feel the obligation to tell everyone that I really enjoyed this movie a lot, that I love Steve Martin and Goldie Hawn, who are in the list of my favorite actors, and that this movie is really funny. Therefore, I wish to recommend this version and I can assure you that you won't regret it.",Performance,,
"Of all the movies about cross country road races (Cannonball 1 and 2, Gumball Rally, et all) I always thought this was easily the best, even though you tend to hear about it the least. David Carradine is great as the star driver, trying to reclaim some past glory and get another shot at a racing career. And Dick Miller as his corrupt brother? Magnificent! Other New World Pictures stars abound!<br /><br />Lots of great cars, and car action as well, especially the final chase between Carradine and the film's villain, driving a wicked Dodge Charger. Sure there's some bad acting and some bad direction, but as far as being a 70's car/B-flick, it ranks high. One interesting note - the very last image shown in New World's ""Death Race 2000"" was of an incompleted elevated highway road section, just like the kind Carradine jumps his car across during the big chase. You gotta buy an old used video if you wanna see this one, which would be great on a widescreen DVD. I actually saw this in the theater and would love to see in widescreen again!",Directional Techniques,Performance,
"When I saw the film at Indie Gathering I was absolutely floored, I sat in my seat absorbing all that I could. The progression of the character was a thing of desire, because it wasn't a traditional love story or good verses evil it was a well thought out script that had twisted and turns and ups and downs but it made you want to watch more and more. Peter's performance was just amazing and my hat goes off to him. It was very noticeable that he loved the character and made it his own. Thanks for the great film and I look forward to seeing of ARC and other projects that Robert has up his sleeve.<br /><br />Derrick Mullins",Plot,Performance,
I think that score's fair. There was something voyeuristic for me about this film as I have met people similar to the poor unfortunate deceased. I didn't expect a lot from it but it was the best film I'd seen out of the last 10 I've watched.<br /><br />The central actor (Paddy Consadine) played his part perfectly never really letting you into his head. Not entirely unpredictable story BUT still a good story. And I think that's why this film succeeds; because it has a good story.<br /><br />I don't really understand some of the low scores for this film. I guess that it may not translate outside of Britain due to the characters involved?<br /><br />Next film Paddy/Meadows please. Recommended.,Performance,Plot,
"Two or even three movies for the price of one! The first is a travelog that was shot somewhere south of the US border. There are some excellent scenes of local fishermen and the culture of ordinary folks. Rumor has it that these are from Orsen Wells circa 1942. The second movie is unabashed marketing for tourism in Mexico - the last shot is of a tourist poster that melts into a plane flying to or from our neighbor to the south. The third movie is a lackluster mystery of sorts with Tom Lawrence at his worst. It is not that all of his Falcon movies are terrible, some are decent. The Falcon in Mexico is not one of his stellar performances and not really worth your time viewing. Half an hour after the movie, you won't rember who did it or care. Costume design by Renié.",Plot,Performance,
"Storytelling has two parts. Fiction and non fiction. In fiction Tod Solondz tells us how we have to watch part two, as soon as you start writing (filming in this case) everything becomes fiction. It is not surprising that the first part (fiction) seems to be more non-fiction than part 2 (non-fiction). The first part is the very raw and painful story about a young girl who is raped by her literature teacher. The second part is the story of a documentaire filmmaker who tries to make a film about teens in suburbia. The guy is a looser, and nobody believes his film will be succesful. But the family he follows (by accident) gets involved in a serie of dramatic events, and the film becomes a hit. When the filmmaker tells his subject he is sory for what happend to him, scooby tells him not to be sorry, because his film is a hit.<br /><br />Tod Solondz is a genial storyteller. He doesn't follow the normal structure of a hollywood film, a protagonist with an dramatic purpose, an antagonsist with an invert purpose, ... Like the bad guy in part one tells us, the second story is way better, this one has at least a begin, a middle and an end. In fact Non-fiction has a begin, a middle and an end, but that is not the reason why you will like the movie. The dramatic events that will happen to the family livingstone are not the motor that makes this movie turn. As in happiness, it is the way Tod Solondz shows us how we really act in life, different than how we think we are acting. watching a Tod solondz movie is like when you watch yourself in the mirror early in the morning when you aren't completely awake. there is an ocean between where i live, an where tod Solondz films his movies, but everytime again, i see myself reflected in the personages of Tod Solondz. That is wath makes his films so wonderful painful, you see people doing stupid things, but you can't blame them, because you know you should do the same thing. You love the personages you are laughing with.<br /><br />Well, i love Tod Solondz, in my directors all-time ranking i'll put him on the same level as lars Von Trier, just under Ingmar Bergman, and igmar bergman, that is the top.",Plot,,
"The first thing my dad did when the credits were done rolling (do stay through the end of the credits because they don't tie up a storyline until then), was to pat me on the back and say thank you for pushing him to come see Aaja Nachle because he hadn't seen such a good film in a long time. Not counting Omkara, this was probably the best film I've seen this year. It was uplifting and beautifully done, especially the Laila-Majnu part, which I wanted to watch again. Madhuri (who I was too young to appreciate in her hey-day) was vivacious and elegant and seeing her dancing and her expressions were such a treat. She's surrounded by the stalwarts of Hindi parallel cinema- Raghubir Yadav, Irrfan Khan, Konkona Sen Sharma, Ranvir Shorey, Vinay Pathak, etc, and I won't even bother saying anything about Akshaye Khanna because I'm just too damn biased. The plot drew from stories that have been around since the beginning of cinema. It's cute and inspiring and it appealled to me more than Chak De India because of the dance/theatre aspect of it. I think Anil Mehta did a wonderful job. As I was leaving the theatre, everyone kept saying how wonderful it was, and that oddly made me feel proud because I think this a truly non-conformist film and if it does well, which it should, it does completely on it's own merit, not because of star-power (Madhuri excluded), gimmicks, or because it's part of some trend. So, do go see it!",Performance,Plot,
"I never saw the exposition of life like this in any movie as it goes on behind the curtains in the ghetto, and this movie showed me a small portion of just that. The ugly reality of life came to surface in this film. Typically black men in the ghetto don't show much respect toward women, abuse them on a regular basis for their selfish, immoral and degraded sexual perversions, as hinted, behind closed doors. I felt both surprised and disturbed by the portrayal of the conscienceless, shifty, two-faced and shameless men who very well painted the picture of life and the kind of men one would meet in the hellish world of drug abuse, prostitution, and poverty. In the end, we learn that there is a way out of there for all, but with a large price tag attached to it!",Plot,,
"I love this movie. Although some people may classify it as ""dated,"" the concepts that it deals with are worth exploring today. How honest are we to one another? How often do we actually look at people? And what is love?<br /><br />From its opening shots (tooling up PCH in a cool car) to its closing ones (people really looking at each other), it's a true work of art. The beginning truly captures the free and concept-expanding atmosphere that is the Esalen Institute, which itself has not changed much since then. Screen goddess Natalie Wood, in one of her best roles, inhabits the honesty and sexual freedom that is Carol. Robert Culp is a strong counterpart to her as Bob. The more repressed couple, Eliott Gould and Dyan Cannon, are perfect.<br /><br />Along the way, they explore the boundaries of sexuality, monogamy and friendship, and realize that some lines are better left uncrossed. To me, it puts a very fine point on what was going on in the 60s, and where exactly we went wrong.<br /><br />SEE THIS FILM. It'll give you insight. Promise.",Directional Techniques,Plot,
"Ever so glad I saw a trailer for this in a Blockbuster rental tape, this movie was quickly one of my favorites. Nobody cares how the movie ends, since the dialog is the key to this film. I had never paid attention to a director's or producers name until METROPOLITAN. I will watch any Whit Stillman movie that comes out.<br /><br />If you enjoy this movie, watch BARCELONA, then LAST DAYS OF DISCO. There are some interesting 'ties' between the three, though not important to any of the individual stories by any means at all.<br /><br />Read all of the other people's comments to learn what it is about. I just give it thumbs up with each hand.<br /><br />Not full of belly laughs, but quite a few ""I wish I could say that in real life"", or better yet, ""I wish I could think of things like that in real life to say to my friends, and even to strangers"".",Plot,,
"Proof that anyone with a video camera and enough desire can compete with the big boys. It's good to see that any schlub can now get his message out there rather than all the power in the hands of the elite. That being said, why anyone would have such a fixation on a human being they hardly know was disturbing. I'm glad that Drew Barrymore didn't seemed bothered by it, maybe she was relieved as she might have felt this guy wasn't a potential danger to her after meeting him. Watching him trying to get into shape in the time he had was ridiculous. A major problem I had with the movie though was I couldn't tell if the main character was gay or not, which created a lot of distracting dissonance.",Plot,,
"I'll be brief: <br /><br />1) The movie has a great opening scene (except for the fact that the bed jumped a lot...) <br /><br />2) Devon Sawa was not excellent, but he did a good job ""playing"" with his hand.<br /><br />3) Vivica A. Fox is really a fox.. but, so what? She was ridiculous in that movie... I don't understand why a person who made a blockbuster as ID4 (I'm not telling it is a good movie, just is a blockbuster) agrees to join such a horrible movie. <br /><br />4) To be fair, I laughed in some scenes, but in overall the movie is really awful. <br /><br />5) If you do not like Offspring, stick with this movie and be satisfied with what the hand does. <br /><br />2/10. Addam's Family is so much better...",Performance,,
"This movie was a bit of a bore. I walked in rather neutral with my expectations, and after the first 10 minutes realized that this ball of cheese was not for me. I sat through it all, for the sake of the company I was with.<br /><br />Mandy Moore and John Krasinski are cute, but very flat characters. There is little or no character development in this film. Robin Williams as Reverend Frank tries to save the show with his humorous antics, but was unfortunately cliché in his attempts. The little boy, Josh Flitter, does an excellent job as the annoyingly forthright ""minister in training"", as do the other children playing minor roles, but the overall attempt was bland.<br /><br />The movie neither humorously avoids morals, nor does it end with moral enlightenment. The ""lesson"" in the end is weak and predictable.<br /><br />If you're looking for something heartwarming, inspiring, or thought-provoking, turn elsewhere. If you'd like a few cheap laughs with a weak storyline, this could be your film.<br /><br />I rate it a 2 out of 10.",Performance,Plot,
"For me, ""Blood Simple"", ""Fargo"" and ""No Country..."" live in a special Coen stratosphere. Then ""Barton Fink"", ""Raising Arizona"", ""the Big Lebowski"" and ""the Man Who Wasn't There"" belong in the next class. I'd have to put ""Burn After Reading"" somewhere in the lower to mid second-class group, but above ""Intolerable Cruelty"" and ""Oh Brother"".<br /><br />I think that after making a such a serious and dramatic effort last year, they're just goofing off this year, and that's fine, they're allowed to do that. They've earned it. But it's not like this movie is really that good or anything. It's screwy and fun, sometimes works, sometimes doesn't quite. I especially liked Brad Pitt, probably because he's the only one showing some new colors here. It's like he started from scratch and built this guy from experiences he once had in high school.<br /><br />""Burn After Reading"" passes the time, but don't build this up too much, because it's mostly just a whole lot of goofing around that just holds itself together because of the talents of the Coens.",Others,,
"If you are a fan of any of the main actors, you will like this film.<br /><br />If you enjoy seeing Paltrow pose in refined interiors in expensive clothes, or very few clothes, as she talks through clenched teeth, this is a movie for you.<br /><br />If you enjoy watching Douglas' subtle mastery of the acting art, and lending depth to a character that in lesser hands would be as flat as wallpaper, this is a movie for you.<br /><br />If you enjoy watching Morgenstern sporting medieval hygiene and chewing the scenery, this is a movie for you.<br /><br />If you enjoy lamenting that the always-remarkable Suchet is woefully underused, this is a movie for you.<br /><br />But...<br /><br />If you like movies that are intelligently scripted, plotted, cast and/or directed, this is not a movie for you. Save your time and money and rent the original ""Dial M for Murder"" instead.",Performance,Plot,
"If Hollywood keeps making bad copies of movies, at least they could see fit to copy a decent movie. Instead these bozos decided to copy the 1991 barely-B-Movie ""Toy Soldiers"" in this overacted cliche-filled steal wherever we can excuse for a film. It has the school kids held hostage, gadget-freak semi geek with a heart of gold, bad boys doing good and even the cute teens of Toy Soldiers, without the benefit of the dimples of Sean Astin or even the acting prowess of Wil Wheaton or R. Lee Ermey. Skip this one.",Others,,
"I've always loved this above average lost in jungle comedy team movie. This movie showcases Mitchell and Petrillo and for the life of me i don't know why they were not more popular.Being clones of Martin and Lewis,they come off as quite professional in this B- Movie.Songs are good and i like this movie better than any ""road"" movies but then thats a matter of taste or lack of it.Bela Lugosi and the Ape actors just add to the fun.1 scene that cracks me up is the witch doctor eating a banana through his giant mask.Then again Sammy doing stand up to the natives who seem Hawaiian gets me going too.The question is did Mitchell and Petrillo make more movies?",Music,,
"I read the director said he made this movie because he wanted to restore Jim Dougherty's place in history. Of course, if his first wife hadn't become you-know-who, he wouldn't even be a blip on the radar.<br /><br />All of her biographers have noted that Monroe was furious when Dougherty told Photoplay in 1953 that she was so in love with him, she threatened to jump off the Santa Monica Pier if he left her. Little wonder how she'd react to his claims that he created ""Marilyn Monroe;"" that she was forced to divorce him; and, even when she was the biggest star in the world, she yearned to return to him. How do I put this? Hogwash! Not only is there no evidence they stayed in contact, according to the 8/6/62 New York Times, when her ""dedicated friend for life"" was informed of her death, he merely said ""I'm sorry,"" and didn't attend her funeral.<br /><br />He also makes another claim: that he created S.W.A.T. It was, in fact, LAPD Officer John Nelson who presented the S.W.A.T. concept to then-Inspector Darryl Gates.<br /><br />One of the posters said the film tells the truth; the only ""truth"" is the pack of lies Dougherty has been peddling for over 50 years in interviews, books, and now this movie. The director should have taken his cue from Norma Jeane herself, and kicked ""Jimmie"" to the curb like the loser he is!",Plot,,
"The Rosenbergs are poster children for the black and white horror of what became known as the McCarthy Era, the Communist Witch Hunts, of the early '50s. Their faces, especially Ethel's, is as recognizable to us as McCarthy's himself. Ivy Meeropol, their granddaughter, grew up with an activist father who believed that his parents were, as they said repeatedly and even at their deaths in the electric chair, innocent. Her home was filled with their images, from newspaper accounts, books, and newsreel footage stills, to pieces of art created by the likes of Picasso. But this film only makes passing reference, I feel, to the fact of Ethel and Julius Rosenberg. What it does do is present us with a granddaughter's rather guileless investigation of who her family are. Her own name was changed by her father's adoption by another family since his own grandparents, aunts, and uncles--on both sides--Greenglass and Rosenberg-- would not take the two orphaned boys in. Her cousins (one of whom she meets for the first time and who weeps with shame at how his own father--Julius's brother--changed their name to Roberts and refused to even see his two nephews) are complete strangers to her. What does she find out? Does she know her grandparents better? I doubt it. She can't know why the Rosenbergs chose to die rather than betray political beliefs, friends, and their nearly religious conviction that Socialism was humankind's only hope. What she can see is what shame, fear, cowardice, infamy, and love does to a family. I think Lillian Hellman's title for her memoir of the same period names it best: Scoundrel Time. After all, the Rosenbergs' convictions and executions made Roy Cohn into a celebrity. God help us.",Plot,,
"What a low level things sometimes fell to during the War! To think that such a worthless exercise as this could even be contemplated, much less filmed! James Mason is supposed to be a Frenchman named Raoul, but his French accent is something a ten year-old in a school play would find embarrassing. Thank goodness he dies before the end, none too soon! Michael Wilding is even more ridiculous. He plays someone who owns a cafe in Normandy, but he speaks with a Cockney accent and acts like a clown. As for Roland Culver, he ambles through this film as if he were on a golfing holiday, occasionally wrinkling his brow in order to suggest he may have thought of something, and once in a while uttering a platitude to remind us that this is a talkie (or perhaps to wake the audience up). What passes for a plot is about some jolly chaps going off to Normandy from Britain, to be beastly to the Germans and find out how to win the war by discovering where some things are which might be blown up, dontcha know. Their idea of hiding from the Germans is to leap behind a false bush and leave their legs showing. The dunderheads in helmets who rush by with fixed bayonets are unable to see legs showing behind false bushes, so that's all right, then. This film would disgrace the word 'travesty', if I were to attempt to use it, so I will use the word 'rubbish' instead.",Plot,,
"A funny thing happened to me while watching ""Mosquito"": on the one hand, the hero is a deaf-mute and the director is totally unable to make us understand why he does what he does (mutilating mannequins...er, excuse me, corpses) through his images. On the other hand, the English version at least is very badly dubbed. So I found myself wishing there had been both more AND less dialogue at the same time! This film is stupid (funny how this guy has access to every graveyard and mortuary in his town) and lurid (where would we be in a 70s exploitationer without our gratuitous lesbian scene?). Not to mention the ""romantic"" aspect (oh, how sweet!)...Miss it. (*)",Plot,,
"A professor has been exposed to some nasty virus, and the result is a slimy, toxic, rambling cannibal monster who lives in the sewers.David Warbeck is luring around as he usually does in low-budget Italian shockers. Oh, the military has put a quarantine on the small English town where the whole thing is happening, with plans about total destruction in fear of contamination. In one scene David Warbeck ask some character ""have you seen any worse actors?"". -And I can only give him a honest ""No!"" A very slow going film with few values.",Performance,Plot,
"While purchasing another Deanna Durbin movie on DVD at Amazon, I saw this title and it peaked my curiosity. I wondered why, with two such great stars as Gene Kelly and Deanna Durbin, I had never heard of this movie before. So I ordered it...I watched it....and now I know why I 've never heard of it before. It is terrible. It is the worst performance ever, in the careers of both Gene and Deanna. And, as other reviewers have said, it has absolutely NOTHING to do with Christmas...nor is it a musical. Gene doesn't dance a single step, and the only time Deanna sings is when she is expressing undying passionate love for this vicious, psychopathic murderer she is married to. <br /><br />In the opening scene, we are introduced to two military men having a conversation about the upcoming nuptials of one of them. We grow to like these two men, and I felt cheated, because one of them we never see again, and the other, the engaged one, merely serves for the rest of the movie as a body for Deanna to tell her story to. In this scene we learn that he is taking military leave to visit his fiancé, when he receives a ""Dear John"" letter saying she has married someone else. He is devastated, and plans to go back home anyway to confront her. Due to bad weather, the plan has to stop in New Orleans, where he meets Deanna in a sleazy night club. The proprietor is the enchanting Gladys George. Deanna tells him (and us) how she met Gene...they were sitting next to each other at a symphony concert. She was captivated by his shy, ""aw shucks"" demeanor. They married and moved in with his very strange mother, played by Gale Sondergard, who horror movie fans will know very well. Gene and Gale are the creepiest mother & son team since Sante and Kenneth Kimes.<br /><br />The are blissfully married for 6 months. All of a sudden, he starts displaying signs of criminal behavior, and starts abusing Deanna...but still she stands by him! Before you know it, the police come looking for him, and he is on trial for murder. Deanna and Mom sit together in the courtroom, and when the guilty verdict is read, Mom turns to Deanna, slaps her in the face and declares her responsible for sonny going to jail. Needless to say, she kicks her out of the house.<br /><br />Now Deanna has to find work, so she gets a job singing at Gladys George's sleazy nightclub. Eventually, Gene escapes from prison and hides out in the nightclub to kill Deanna, because he assumes since she's working there, that she must be sleeping with all the patrons. The unbelievable part of this plot, is that when she sees him hiding in the back room, she runs to him with open arms, ready to run off with him ! I really hate to make you watch this to find out the ending, but we're not allowed to give ""spoilers""....<br /><br />You know, I always believed that even the greatest of stars made some clinkers in their careers that we never see....and this film is proof!",Plot,,
"Although a few people have pointed out this was a 70's TV show in the UK, this is not a spin off movie. It's actually an abridged version of the show, cleverly edited into a movie. The fact that nobody has noticed that (even the people who remember the show) just proves the editor has done a very good job.<br /><br />As others have pointed out, if you remember watching this on TV then this is an excellent piece of nostalgia. Even if you never seen it first time its still an enjoyable watch, but just remember it was shot on a 70's TV show budget (a UK one at that) so its not a major production. Although in my opinion it just adds to its gritty charm.",Others,,
"Nice guy Michael (winningly played by the affable Jon-Michael Bischof) gets an Ouija board as a gift for his 18th birthday from his smartaleck best buddy Tony (the solid Juan Ignacio Aranda). Michael summons the lethal and evil spirit of Virgil, who takes possession of Tony's body and starts bumping off Michael's friends. Writer/director Ruben Galindo, Jr. trots out all the expected endearingly hokey 80's teen fright feature clichés: we've got a couple of false scares, a corny lovey dovey montage set to infectiously bouncy 80's rock music, a generic spooky'n'shuddery ominous score by Pedro Plascencia Salinas, a tasteful make-out scene, and even the always amusing psycho in the back seat of a car bit. Moreover, the basic plot blatantly emulates the second ""A Nightmare on Elm Street"" movie, the pace really kicks into gear and rarely lets up after the rather leisurely opening third, the 80's clothes and hairstyles are hilariously hideous (Michael's silly blue pajamas are especially sidesplitting!), and Galindo, Jr. gleefully pours on the blood by the gallon with several pleasingly brutal murder set pieces. Additional accolades are in order for the mostly sound acting from the personable cast. The stunningly gorgeous and adorable Gabriela Hassle in particular impresses with her warm and charming performance as Michael's sweet gal pal Alexandra. Screaming Mad George's funky special effects and the reasonably polished cinematography by Miguel Arana and Daniel Lopez both hit the spot as well. A fun little flick.",Performance,Plot,Music
"Crazy Love is a little known eighties cult film that traces a boy's life through three key events. The film is Belgian produced; based around three stories by cult writer Charles Bukowski and brought to life by Belgian director Dominique Deruddere. Crazy Love does not have a particularly good reputation these days, although it apparently caused quite a stir upon its release and that isn't all that surprising considering the subject matter; although to be honest, nothing in this film particularly shocked or offended me. The central character is Harry Voss, who we first meet as a young kid who is learning about sex from his friend, with the aide of a few loose women. We then pick up a few years later and Henry is a schoolboy, befallen by an extreme case of acne that leads to him being rejected by the opposite sex and ridiculed by his peers. The third and final chapter sees the once bright young boy as a drunken waster who cuts a stark contrast to the boy we saw in both the first and second chapters of the film.<br /><br />The three parts of the film are all incredibly different and the director succeeds in creating an atmosphere to carry this off. Crazy Love is a 'coming of age' film; a favourite subject among Hollywood 'cookie cutter' filmmakers, but this one is about as far from the mainstream as you can get. The first segment is the lightest of the three, but still packs a punch as we watch the subject discovering sex and eventually getting acquainted with his hand. The second segment focuses more on the idea of teenage alienation and sees the film take a darker turn as the sensitive young man is rejected by all the girls because of his deforming acne. This provides a nice opener to the third section, which is completely dark and dismal and probably what earned the film its reputation - the ending is not something that many will forget in a hurry! Overall, it's not really surprising that this film hasn't gone down as an all time 'classic, but it certainly has its place among cult fans and that isn't surprising either. Be sure to catch this film if you want something a bit different!",Plot,,
"Vet Hard, the debut of the 25 year old director Tim Oliehoek, is a definite thrill. Throughout the entire movie, you will be bombarded with nasty, but pretty effective jokes, loads of one liners and all sorts of other fun n weird stuff.<br /><br />The characters are also pretty wacky, ranging from a fat woman hating tough guy, to a necrophiliac serial killer. Even though we do not really get involved with these characters, its hardly an annoyance, as the movie is pretty much focused on the action scenes. These scenes have been done very well, especially for a dutch movie, some might even say that a certain chase in this movie, has the same sort of excitement level, as amsterdamned once had with the speedboat chase. Again, even though there is a lot more heavier stuff coming from Hollywood, for dutch standards, its pretty wild.<br /><br />The story isn't very original as well, yet its brought with such enthusiasm and you can see that the actors all had a great time. The little cameos of a lot of dutch celebs is fun as well, and are guaranteed some laughs.<br /><br />I definitely recommend this film, as it is one of the better dutch comedies and features some great and hilarious (action) scenes.<br /><br />Regarding the director Tim Oliehoek, i think we will be seeing a lot more from this guy!",Performance,Directional Techniques,
"I was lucky enough to catch a free preview screening of this masterpiece of slap stick kung fu genius, and i feel that i should now pay the theater anyways. Let me explain:<br /><br />Suppose God had a bad day and decided to cheer himself up by creating a new man. This man was one part Charlie Chaplin, one part Bruce Lee, a half a teaspoon Jackie Chan, and an injection of every Looney Toon ever created.<br /><br />This is quite likely how Stephen Chow came into existence.<br /><br />Now imagine that after creating this man, God bestow on him an army of stunt-men, a type writer, a movie camera, a hefty special effects budget, and a eighty wardrobes worth of axes, black suits and top hats.<br /><br />This is quite likely how Kung Fu Hustle came into existence.<br /><br />Ebert has already said that this a movie where Jackie Chan and Buster Keaton meet Bugs Bunny and Quentin Tarantino, but i think that needs to be amended : Imagine a movie where Jackie Chan and Buster Keaton meet Bugs Bunny and Quentin Tarantino, and then the whole crew go to a opium bar for 36 hours. This movie was great, at least as good if not a little better than Shaolin Soccer, the smash hit Chow made back into two thousand. You never doubt the abilities of any random person to be a master of kungfu or, completely not a master of kung fu.<br /><br />Also, the cartoonish beating and contortions that every character seem to be able to endure are so brilliantly installed in the film that despite their utter impossibility, no one ever questions their validity. Characters and fly through the atmosphere, surrounded in an aura of flame and not even have a scratch when they reach the ground.<br /><br />Where Sin City was a living comic book Kung Fu Huslte a living cartoon, and no one stops laughing for the entire time.",Directional Techniques,Others,
"This is one of the first 'surreal' films that I have seen. Phantom of Liberty for the most part is quite a normal film with a structured narrative and some quite well defined characters What makes it brilliant is the fact that one minute, its just a normal film and then a scene where a family sit at a table on toilet seats is thrown at us. Followed by each family member coming to another room to eat on their own. Distorting reality. Weird! Some parts of the film are so absurd they are funny. Such as an early scene where some parents look at pictures and deem them 'disgusting' when they are just pictures of buildings. Its very strange and humorous in general.<br /><br />The are minimal cuts in the camera work, shots flow together nicely. For example a two shot may not cut to an over the shoulder shot, but just adjust to it. A technique which I liked.<br /><br />I found this film to be quite oddly lit. Is often dark and light is used kind of sparingly. Odd, as the film sometimes almost looks like shades of grey through its darkness.<br /><br />I'm guessing that the criterion version is the way to go, I saw a version taped from TV about 6 years ago, which was at times fuzzy and grainy. Anyway, to sum up. A mad film that defies logic, is funny, shocking and engaging to the last perfect frame. Highly recommended!",Directional Techniques,Visual Effect,
"Yeah when I first saw the commercials for this movie I was like. Oh God this movie will be boring. I was right. It starts out with four college students. (All who look like they are in there late 20's) driving down the road obviously fast forwarded listening to awful music. They break into a park and run over a baby bear. Soon they are followed by its mother. Every time she kills someone animated blots of blood splatter. And I don't even want to comment on the car which over heats, flips, and amazingly enough still runs.<br /><br />The acting was so bad I rooted for the bear the entire time. I can't even believe that they made and aired this junk.<br /><br />Rating 1 out of 10",Performance,Music,
"To start off with, Jay and Silent Bob rock as always, T.S. is a little anal but that adds to his overall character and pans out to his advantage at the end of the film, Willam is underrated, Brandi and father are a great example of a modern day middle class father/daughter relationship, (and she FINE to!!!), even the lovely Shannen Doherty deserves usually unwarranted praise if just for the lift scene, but the star of the whole movie has got to be Brodie. If not for the preoccupation with superhero sex organs, supermans potential birth control or possible future realistic child bearing partners, then just simply for the answer to what noises do you make when you're having whoopee. According to commentary said noise was supplied by the unappreciated in our time Jay mewesey mewes but delivered with such conviction that i use it as my answerphone message on my cell. Kevin Smith, View Askew, boys, you all did yourselves proud. Even your commentaries are better than most of the other films floating around the cinemas for the past decade. Thank you for making a sad man and best friend very happy.",Others,,
"This film is about a middle aged woman, Melba May (Park Overall,) who has big dreams, but is going nowhere. She lives in a trailer, in Nevada, with her husband Flint (Don Harvey.) One night Melba catches Flint with another woman, and leaves him. She decides to go to Vegas to meet up with an old friend from high school, Dottie Delgato (Veronica Cartwright,) who's dreams went where she wanted them. But when Melba finds her, she finds out Dottie's dreams only lasted temporarily.<br /><br />Back at home, Flint gets a knock on his door, finding out that Melba just won a million dollars. But only Melba can expect it. So Flint goes off to find her, basically to kidnap her, so he can keep the money himself. It was only possible for Melba to get to Vegas by three young agents from Hollywood, off to Vegas to make money. This movie is an okay movie. I'd give it a 7/10, only because I didn't expect much from it. It's better as a movie made for TV.",Plot,,
"Rented the newly released DVD of this and I'm glad I didn't buy it.<br /><br />Carter Brown (David Gale) is the head of a corporation who develops synthetic creatures that to be used to fight wars in the Middle East. It's a creature that's adverse to water, but no matter since the desert doesn't have very much water to begin with. It also looks very similar to the gill man in CREATURE FROM THE BLACK LAGOON, so there's not a whole lot of imagination here.<br /><br />Anyway, these SYNGENORS escape from the lab and invade the building killing people, but it's not very scary or gory or anything. In fact, the whole film looks like one big bore with David Gale looking like he's sleepwalking through the whole thing. He made a better ham in the RE-ANIMATOR series and the injecting of the green fluid into his neck is a silly cue from those earlier films. <br /><br />Never heard of any of the rest of the cast except for Melanie Shatner as the receptionist, and that's only because she's Bill's daughter.<br /><br />The Elite DVD has a short clip of David Gale visiting Japan in order to help promote this film, which I understand, was a big hit over there. Why, I don't know. Maybe they thought the creature was 'cute' or something.<br /><br />It might've worked better if Roger Corman had a hand in it, but as it stands, it only gets a charitable failure.<br /><br />2 out of 10<br /><br />",Performance,Plot,
